BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,,,,
Interventions_100_people_End,,,,,,,,,,,,,,,,
04/29/2020 17:09:00:810 -0300,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,intervention?,nw-type,intervention-type,perc-interventions,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
107,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,825,24,76,0.16237494,0.324779945
109,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,806,15,85,0.142670215,0.302525725
108,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,958,16,84,0.14225115,0.303025657
110,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,831,14,86,0.153028345,0.31403029
111,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,864,12,88,0.133685026,0.290231942
112,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,877,14,86,0.143247964,0.30256347
114,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,842,12,88,0.143122882,0.302650031
113,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,902,13,87,0.143054361,0.30265517
117,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,841,12,88,0.133257663,0.290393392
116,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,868,14,86,0.133209801,0.290414999
115,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,1013,16,84,0.141611819,0.303316381
118,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,846,14,86,0.153149225,0.313923947
119,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,851,17,83,0.143111118,0.302747398
120,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,963,17,83,0.13288444,0.290518841
121,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,816,14,86,0.15269283,0.314014294
122,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,858,16,84,0.153002037,0.314045061
125,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,836,13,87,0.142735152,0.302504191
126,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,850,14,86,0.132645999,0.29064823
124,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,1067,13,87,0.132257592,0.290733749
123,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,1070,12,88,0.141981678,0.303054411
127,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,846,13,87,0.133242925,0.290407592
128,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,838,12,88,0.142814368,0.302607885
129,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,845,18,82,0.142751673,0.302500499
130,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,892,17,83,0.142900496,0.302236242
131,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,843,13,87,0.143145783,0.302647004
132,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,807,16,84,0.152783955,0.3142987
133,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,867,15,85,0.142330167,0.302935194
134,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,848,12,88,0.133315988,0.290371861
135,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,825,16,84,0.142876601,0.302868471
136,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,788,11,89,0.141875742,0.302843585
137,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,824,16,84,0.152029296,0.313932345
138,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,807,13,87,0.14308909,0.302594005
139,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,819,16,84,0.152798332,0.314217156
140,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,889,16,84,0.143237597,0.302154866
141,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,852,11,89,0.133670893,0.290233828
142,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,826,12,88,0.132967236,0.290519384
143,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,817,15,85,0.133072069,0.290474462
144,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,860,13,87,0.14298744,0.302332365
145,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,818,19,81,0.142569764,0.302896834
146,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,840,13,87,0.142365936,0.302922865
147,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,802,14,86,0.142296224,0.302922316
148,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,818,18,82,0.162877474,0.324708404
149,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,838,12,88,0.143158551,0.302563981
150,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,863,13,87,0.142800338,0.302385001
151,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,856,20,80,0.142976211,0.302716012
152,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,847,12,88,0.133505044,0.290298804
153,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,818,16,84,0.152513246,0.314149153
154,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,812,14,86,0.152305861,0.313946448
155,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,860,13,87,0.162427786,0.324630408
156,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,872,12,88,0.143198593,0.302249665
157,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,860,11,89,0.13351559,0.290297077
158,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,833,15,85,0.162891938,0.324515837
159,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,843,14,86,0.143368941,0.302424085
160,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,827,14,86,0.133021932,0.290490234
161,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,862,11,89,0.143093188,0.302284062
162,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,864,13,87,0.132624837,0.290631217
163,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,825,14,86,0.142820963,0.302734409
164,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,850,11,89,0.143462964,0.302537599
165,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,810,17,83,0.162182307,0.325254254
166,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,836,12,88,0.13299077,0.290502816
167,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,846,13,87,0.14298453,0.302796346
168,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,806,16,84,0.132865372,0.290553336
169,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,831,12,88,0.133229356,0.290412987
170,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,827,15,85,0.142930045,0.302585101
171,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,840,17,83,0.133486042,0.290309402
173,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,833,13,87,0.142899012,0.302469731
172,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,850,17,83,0.143313248,0.302605257
174,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,814,15,85,0.152609713,0.314314836
175,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,835,17,83,0.142999899,0.302558825
176,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,838,15,85,0.153037213,0.314089306
177,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,873,14,86,0.13331434,0.290377086
179,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,828,17,83,0.162965279,0.324751272
178,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,1023,16,84,0.141764867,0.30322231
180,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,823,17,83,0.153035105,0.313981641
181,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,857,11,89,0.132911991,0.290533717
182,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,881,16,84,0.142866376,0.302698394
183,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,837,15,85,0.14258105,0.302937401
184,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,824,17,83,0.162961492,0.324726389
185,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,808,17,83,0.142360472,0.302952354
186,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,800,15,85,0.16240805,0.32494994
188,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,855,14,86,0.13348409,0.290309474
187,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,937,13,87,0.133252806,0.290387098
189,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,827,14,86,0.152486788,0.314266386
190,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,849,15,85,0.153241099,0.314070736
192,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,846,11,89,0.133534602,0.290296125
191,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,1071,12,88,0.131203106,0.291139055
193,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,948,13,87,0.132893986,0.290511918
194,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,857,14,86,0.143024135,0.302738618
195,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,837,16,84,0.143287136,0.302613255
196,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,877,13,87,0.141678163,0.303027376
197,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,814,16,84,0.142632338,0.302799367
198,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,848,19,81,0.133029699,0.290490872
